theme,url,img,lines,author
DEDICATION,/inspirational-quotes/8360-its-worth-remembering-that-it-is-often-the,https://assets.passiton.com/quotes/quote_artwork/8360/medium/20220919_monday_quote.jpg,"It's worth remembering that it is often the small steps, not the giant leaps, that bring about the most lasting change.",<Author:0x00007fc95e09b058>
BELIEVE IN YOURSELF,/inspirational-quotes/8359-believe-in-yourself-and-go-for-it,https://assets.passiton.com/quotes/quote_artwork/8359/medium/20220916_friday_quote.jpg,Believe in yourself and go for it.,<Author:0x00007fc95f56fb50>
BELIEVE IN YOURSELF,/inspirational-quotes/6840-keep-your-dreams-alive-understand-to-achieve,https://assets.passiton.com/quotes/quote_artwork/6840/medium/20220915_thursday_quote.jpg,"Keep your dreams alive. Understand to achieve anything requires faith and belief in yourself, vision, hard work, determination, and dedication. Remember all things are possible for those who believe.",<Author:0x00007fc95fd5e9d8>
BELIEVE IN YOURSELF,/inspirational-quotes/8358-either-i-will-find-a-way-or-i-will-make-one,https://assets.passiton.com/quotes/quote_artwork/8358/medium/20220914_wednesday_quote.jpg,"Either I will find a way, or I will make one.",<Author:0x00007fc95e94f208>
BELIEVE IN YOURSELF,/inspirational-quotes/6545-believe-in-yourself-and-all-that-you-are-know,https://assets.passiton.com/quotes/quote_artwork/6545/medium/20220913_tuesday_quote.jpg,Believe in yourself and all that you are. Know that there is something inside you that is greater than any obstacle.,<Author:0x00007fc95fbfea70>
BELIEVE IN YOURSELF,/inspirational-quotes/8011-don-t-let-others-tell-you-what-you-can-t-do,https://assets.passiton.com/quotes/quote_artwork/8011/medium/20220912_monday_quote.jpg,"Don’t let others tell you what you can’t do. Don't let the limitations of others limit your vision. If you can remove your self-doubt and believe in yourself, you can achieve what you never thought possible.",<Author:0x00007fc95ec1da70>
SMILE,/inspirational-quotes/7042-dont-cry-because-its-over-smile-because-it,https://assets.passiton.com/quotes/quote_artwork/7042/medium/20220909_friday_quote.jpg,"Don't cry because it's over, smile because it happened.",<Author:0x00007fc95ad13a00>
SMILE,/inspirational-quotes/6258-a-smile-is-a-curve-that-sets-everything-straight,https://assets.passiton.com/quotes/quote_artwork/6258/medium/20220908_thursday_quote.jpg,A smile is a curve that sets everything straight. ,<Author:0x00007fc95ff7f438>
SMILE,/inspirational-quotes/7905-just-one-smile-immensely-increases-the-beauty,https://assets.passiton.com/quotes/quote_artwork/7905/medium/20220907_wednesday_quote.jpg,"Just one smile, immensely increases the beauty, of the universe.",<Author:0x00007fc95ee2e288>
SMILE,/inspirational-quotes/8145-if-you-see-someone-without-a-smile-give-them,https://assets.passiton.com/quotes/quote_artwork/8145/medium/20220906_tuesday_quote.jpg,"If you see someone without a smile, give them one of yours.",<Author:0x00007fc95eef98e8>
SMILE,/inspirational-quotes/7323-too-often-we-underestimate-the-power-of-a,https://assets.passiton.com/quotes/quote_artwork/7323/medium/20220905_monday_quote.jpg,"Too often we underestimate the power of a touch, a smile, a kind word... all of which have the potential to turn a life around.",<Author:0x00007fc95e40d8a8>
PEACE,/inspirational-quotes/8357-every-breath-we-take-every-step-we-make-can,https://assets.passiton.com/quotes/quote_artwork/8357/medium/20220902_friday_quote.jpg,"Every breath we take, every step we make, can be filled with peace, joy and serenity.",<Author:0x00007fc95b179ba8>
PEACE,/inspirational-quotes/8177-when-we-create-peace-and-harmony-and-balance-in,https://assets.passiton.com/quotes/quote_artwork/8177/medium/20220901_thursday_quote.jpg,"When we create peace and harmony and balance in our minds, we will find it in our lives. ",<Author:0x00007fc95ed953f8>
PEACE,/inspirational-quotes/7583-peace-begins-with-a-smile,https://assets.passiton.com/quotes/quote_artwork/7583/medium/20220831_wednesday_quote_alt.jpg,Peace begins with a smile.,<Author:0x00007fc95cf44d68>
PEACE,/inspirational-quotes/3328-choose-love-and-peace-will-follow-choose-peace,https://assets.passiton.com/quotes/quote_artwork/3328/medium/20220830_tuesday_quote.jpg,Choose love and peace will follow. Choose peace and love will follow.,<Author:0x00007fc95ae51188>
PEACE,/inspirational-quotes/7429-peace-like-charity-begins-at-home,https://assets.passiton.com/quotes/quote_artwork/7429/medium/20220829_monday_quote.jpg,"Peace, like charity, begins at home.",<Author:0x00007fc95b9dcf70>
LOVE,/inspirational-quotes/6900-let-us-see-what-love-can-do,https://assets.passiton.com/quotes/quote_artwork/6900/medium/20220826_friday_quote.jpg,Let us see what love can do.,<Author:0x00005608ad69e4c8>
LOVE,/inspirational-quotes/6128-may-love-and-laughter-light-your-days-and-warm,https://assets.passiton.com/quotes/quote_artwork/6128/medium/20220825_thursday_quote.jpg,"May love and laughter light your days, and warm your heart and home. May good and faithful friends be yours wherever you may roam...
",<Author:0x00005608abb8ba28>
LOVE,/inspirational-quotes/7969-i-believe-in-the-spirit-of-equality-and-the,https://assets.passiton.com/quotes/quote_artwork/7969/medium/20220824_wednesday_quote.jpg,I believe in the spirit of equality and the spirit of this country as one of love and compassion and kindness.,<Author:0x00005608ad86b508>
LOVE,/inspirational-quotes/6459-we-lose-ourselves-in-the-things-we-love-we,https://assets.passiton.com/quotes/quote_artwork/6459/medium/20220823_tuesday_quote.jpg,"We lose ourselves in the things we love. We find ourselves there, too.",<Author:0x00005608ad7fa290>
LOVE,/inspirational-quotes/7692-you-yourself-as-much-as-anybody-in-the-entire,https://assets.passiton.com/quotes/quote_artwork/7692/medium/20220822_monday_quote.jpg,"You yourself, as much as anybody in the entire universe deserve your love and affection.",<Author:0x00005608ad9348b8>
PERSPECTIVE,/inspirational-quotes/8356-you-have-the-capability-to-change-your-life-all,https://assets.passiton.com/quotes/quote_artwork/8356/medium/20220819_friday_quote.jpg,You have the capability to change your life all with a simple shift in perspective.,<Author:0x00005608ad8f2760>
PERSPECTIVE,/inspirational-quotes/8355-the-smallest-change-in-perspective-can,https://assets.passiton.com/quotes/quote_artwork/8355/medium/20220818_thursday_quote.jpg,The smallest change in perspective can transform a life. What tiny attitude adjustment might turn your world around?,<Author:0x00005608ad9cdc20>
PERSPECTIVE,/inspirational-quotes/6441-its-not-what-you-look-at-that-matters-its-what,https://assets.passiton.com/quotes/quote_artwork/6441/medium/20220817_wednesday_quote.jpg,"It's not what you look at that matters, it's what you see. ",<Author:0x00005608ad999380>
PERSPECTIVE,/inspirational-quotes/8354-wisdom-is-your-perspective-on-life-your-sense,https://assets.passiton.com/quotes/quote_artwork/8354/medium/20220816_tuesday_quote.jpg,"Wisdom is your perspective on life, your sense of balance, your understanding of how the various parts and principles apply and relate to each other.",<Author:0x00005608ad954910>
PERSPECTIVE,/inspirational-quotes/8353-the-best-ideas-emerge-when-very-different,https://assets.passiton.com/quotes/quote_artwork/8353/medium/20220815_monday_quote.jpg,The best ideas emerge when very different perspectives meet.,<Author:0x00005608ada2f218>
LIVE YOUR DREAMS,/inspirational-quotes/8351-the-biggest-adventure-you-can-take-is-to-live,https://assets.passiton.com/quotes/quote_artwork/8351/medium/20220812_friday_quote.jpg,The biggest adventure you can take is to live the life of your dreams.,<Author:0x00005608ad9f8178>
LIVE YOUR DREAMS,/inspirational-quotes/4171-twenty-years-from-now-you-will-be-more,https://assets.passiton.com/quotes/quote_artwork/4171/medium/20220811_thursday_quote.jpg,Twenty years from now you will be more disappointed by the things you didn't do than by the ones you did. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.,<Author:0x00005608adadbe00>
LIVE YOUR DREAMS,/inspirational-quotes/6906-dont-be-pushed-by-your-problems-be-led-by-your,https://assets.passiton.com/quotes/quote_artwork/6906/medium/20220810_wednesday_quote.jpg,"Don't be pushed by your problems, be led by your dreams.",<Author:0x00005608adaa18b8>
LIVE YOUR DREAMS,/inspirational-quotes/7827-although-time-seems-to-fly-by-it-never-travels,https://assets.passiton.com/quotes/quote_artwork/7827/medium/20220809_tuesday_quote.jpg,"Although time seems to fly by, it never travels faster than one day at a time. Each day is a new opportunity to live your life to the fullest.",<Author:0x00005608adbaf390>
LIVE YOUR DREAMS,/inspirational-quotes/7065-every-great-dream-begins-with-a-dreamer,https://assets.passiton.com/quotes/quote_artwork/7065/medium/20220808_monday_quote.jpg,Every great dream begins with a dreamer.,<Author:0x00005608adb51060>
CONFIDENCE,/inspirational-quotes/6508-confidence-comes-not-from-always-being-right,https://assets.passiton.com/quotes/quote_artwork/6508/medium/20220805_friday_quote.jpg,"Confidence comes not from always being right, but from not fearing to be wrong.",<Author:0x00005608adc3bca0>
CONFIDENCE,/inspirational-quotes/7587-each-time-we-face-our-fear-we-gain-strength,https://assets.passiton.com/quotes/quote_artwork/7587/medium/20220804_thursday_quote.jpg,"Each time we face our fear, we gain strength, courage and confidence in the doing.",<Author:0x00005608adc114f0>
